rowf_colf,km2
788_1380,16.619064865493094
788_1378,16.89332226916896
786_1378,16.71104507441222
790_1378,16.901506183361676
788_1376,16.893266392355947
790_1380,16.901654896743374
786_1376,16.890326588204257
824_1302,16.93919036577718
822_1300,16.93711284876924
822_1302,16.9354084295648
820_1300,16.936794928393606
820_1298,16.935465193479313
822_1298,16.94269892608188
824_1300,16.940570492827554
742_1264,16.818758229709076
740_1262,16.818201458120544
740_1264,16.81436022087616
742_1262,16.815441791208954
742_1266,16.824983843598723
744_1266,16.821232149990987
744_1264,16.81948420963554
746_1268,16.827126517846065
744_1268,16.823417906519484
746_1266,16.821983374260526
824_1272,16.939475500487553
822_1270,16.935860252753216
822_1272,16.93458400750075
820_1270,16.934564705198156
820_1268,16.93397208177459
822_1268,16.931858865263838
824_1270,16.93866118605607
826_1274,16.94127150199174
826_1272,16.943366720576996
824_1274,16.93846931594676
826_1264,16.9353291987705
826_1266,16.940114171499943
828_1266,16.94255925676056
828_1264,16.937703065228472
824_1264,16.937488168692155
824_1262,16.939497676643192
826_1262,16.93510186833337
854_1528,8.715058622047533
854_1530,1.1129411223853074
856_1528,0.21193400010436983
854_1526,16.98897155129578
852_1528,16.98624906183102
856_1526,14.73552767712054
852_1530,12.147231254309915
838_1532,15.794748169446112
840_1532,16.966673011633997
840_1530,16.967027728311134
838_1534,16.506803856160385
840_1534,16.94127156067009
842_1530,16.971006138788177
842_1532,14.95000100984405
820_1302,16.93686395155444
822_1304,16.939592693345215
824_1304,16.937020716641456
820_1304,16.935903369538423
822_1306,16.94040514995911
824_1306,16.944509114660356
784_1376,16.892815810728074
784_1378,16.891904443018063
786_1380,13.267831556330759
784_1374,16.885515357848824
786_1374,16.889725196731572
818_1300,16.929563789047165
818_1302,16.931742275284332
814_1304,16.927451683369583
814_1302,16.927919369632498
812_1302,16.92795463916632
816_1304,16.928268073332415
816_1306,16.933556240442815
814_1306,16.931891168957076
812_1304,16.928620814429728
804_1290,16.914551293856526
802_1290,16.91148418651819
804_1292,16.91110017631947
802_1288,16.912432727498086
804_1288,16.90968086977223
806_1290,16.91183434555813
806_1292,16.917054010042964
802_1306,16.91202095419138
804_1306,16.914867196859323
802_1304,16.914756110715864
800_1304,16.91030798248153
800_1306,16.910428376246422
804_1308,16.91208681702591
802_1308,16.90671587451745
802_1296,16.912330458149754
804_1296,16.914558667027983
802_1294,16.91501830231571
806_1296,16.914476149405036
806_1298,16.91714831289772
804_1294,16.911198382091225
804_1298,16.914579477017085
738_1268,16.813421728277735
736_1266,16.809977417274773
736_1268,16.80781326059968
740_1270,16.81750641209922
740_1268,16.812635673660193
738_1266,16.809906386291747
738_1270,16.815674341160193
740_1272,16.815733369527695
742_1272,16.82114604312632
740_1274,16.815574664217156
738_1272,16.813634452677867
742_1274,16.820436531434595
742_1270,16.815084176873043
736_1270,16.81298034645007
740_1266,16.815746986387445
742_1268,16.82382010759209
738_1264,16.816442332708565
736_1264,16.812585915566515
744_1270,16.820417150648186
738_1262,16.81571463609628
736_1262,16.806454356859483
722_1386,6.453895163824366
722_1384,5.971040819741858
722_1382,5.48067217338056
724_1384,16.797728048260755
724_1386,16.7986263653154
724_1388,16.802464912080527
722_1388,6.943042866904254
726_1382,16.79859379086243
726_1380,16.804174345977348
724_1380,16.80104959029043
728_1380,16.802587701064198
726_1378,16.805769750974296
