rowf_colf,km2
770_1766,0.007876189018415638
724_1554,4.485049508517187
726_1554,0.1376134911519297
728_1552,0.3621699069012149
728_1554,5.298636854110875
726_1556,9.234481086219558
724_1556,15.807229310616563
728_1550,13.507357964782843
730_1552,6.589783985624924
730_1550,7.778278339545002
726_1550,4.753651078252755
724_1552,1.6143501451986222
724_1550,5.215578220804643
726_1548,14.186696213901612
728_1548,14.534386828973442
846_1602,16.97794838233667
846_1600,16.58693413700679
844_1602,16.972420730871477
846_1604,16.975400232456728
848_1602,15.080944643760569
848_1600,15.121578492597926
844_1604,16.964665256943672
778_1574,16.876577677290722
776_1574,16.8785745646533
776_1576,16.879372674315704
778_1572,16.876748596247253
774_1576,16.883174531190683
774_1574,16.87771178553415
776_1572,16.87863510714214
784_1570,16.890945837012946
784_1572,16.88880096977964
786_1570,16.893490862484665
784_1568,16.895553830951812
782_1570,16.884984257152674
786_1568,16.89453068503644
782_1572,16.88553232142528
796_1676,16.90498606971155
798_1676,16.90146743030317
798_1674,16.907420416503598
796_1674,16.905525765270525
794_1676,16.89583048730995
794_1678,16.90131284699149
796_1678,16.905224634416907
796_1680,16.900302510523876
798_1678,14.825382395688882
794_1680,16.904667596966462
766_1756,16.851159036836926
768_1756,16.85888437616772
768_1754,16.85160373417935
766_1754,16.854152396555243
764_1756,16.843889037574662
766_1758,16.852966638762418
764_1758,16.842433016580355
770_1754,16.86115776493291
770_1756,16.857249031278503
768_1758,16.854320778639686
768_1752,16.852304729396458
766_1752,16.852523613582722
764_1754,16.847834378404354
754_1752,16.83741421931635
754_1754,16.834816621579353
756_1752,16.836636324631677
752_1754,16.827873313347695
752_1756,16.828980515594758
756_1754,16.838386311167525
754_1756,16.832406356907462
712_1548,12.543130350284198
710_1548,12.288730881617912
722_1554,15.871320450062118
722_1556,16.799843817416285
728_1560,16.357944076748396
726_1560,16.802336414173897
726_1562,16.803158056743886
724_1562,16.798077252572707
724_1560,16.803919154359352
728_1558,16.81022069910281
726_1558,16.80193617729441
728_1556,16.762764933197825
730_1556,15.677665035352273
730_1554,5.937998240939911
724_1558,16.79638631804324
732_1554,9.94776759177184
732_1552,16.574297379570854
730_1558,13.688854493040338
744_1598,16.830693562215206
744_1596,16.83019802355917
742_1598,16.821756313503318
744_1600,16.83015403800974
746_1598,16.829395388786885
746_1596,16.832745739077698
742_1600,16.82625801650794
740_1600,16.823168082478123
742_1602,16.825497273043265
740_1602,16.8241705312581
780_1572,16.88933081737215
780_1574,16.881834411287866
782_1574,16.886249392583565
786_1572,16.893981113810874
784_1574,16.89154260481277
782_1576,16.885215479006803
780_1576,16.888846218644154
722_1552,16.23548547812869
732_1550,15.882569384360302
732_1548,14.860903564206678
730_1548,14.46643474890499
796_1560,16.91046637254356
794_1562,16.907694481675488
796_1562,16.91020770444022
794_1560,16.90727531178124
798_1560,16.90854905092739
798_1558,16.906037459315172
796_1558,16.910855057074162
790_1562,16.901134333230605
792_1562,16.904503800432064
792_1560,16.90305255974686
790_1564,16.90029047027122
788_1564,16.896615797352812
788_1562,16.896179986682085
790_1560,16.900155208516132
788_1560,16.900722492863586
786_1562,16.890263092340035
786_1564,16.892891751395386
800_1558,16.911363171138472
798_1556,16.910998156158406
800_1556,16.911480530371676
812_1546,7.2127376453619085
810_1548,16.928321140079937
812_1548,16.927837263630884
814_1546,7.370567817721046
810_1546,7.027042832191714
792_1564,16.905217864585087
794_1564,16.902015029658216
792_1566,16.902302524725386
790_1566,16.90143138970679
822_1592,16.9425991964562
822_1590,16.941913400127795
820_1592,16.940374573447553
