rowf_colf,km2
812_2230,16.80906125197519
810_2232,16.806975271524156
812_2232,16.81392969845635
810_2234,16.80992775224021
808_2234,16.80683249092393
808_2232,16.808161493132793
810_2230,16.80866981087844
808_2230,16.80608119683855
810_2228,16.81301871153281
812_2228,16.812904398204868
742_2038,2.892015365555406
742_2036,5.567876377980247
742_2040,0.6439304514281814
744_2038,16.76482121685594
744_2036,16.758450656589194
904_2212,16.9463822267596
906_2210,1.2086591321435554
904_2210,6.570930287617513
902_2212,16.941405770563154
902_2214,16.947224765694667
906_2212,13.601423618758362
904_2214,16.9499139881494
902_2220,16.941614139270627
902_2222,16.94395003127138
904_2220,16.944747191644513
904_2218,15.976782940321293
900_2222,16.938938899263704
900_2220,16.93821301764485
902_2218,10.907083858926688
898_2220,16.939925349644568
900_2218,16.697400265421507
898_2222,16.937387904229563
922_2218,12.701301404090229
924_2216,0.4590569565770471
924_2218,15.729061162125692
922_2220,16.965979935999965
920_2218,15.40841713563695
920_2220,16.97023689870336
904_2222,16.952592903048988
906_2220,16.64656832028178
906_2222,16.947273030244318
904_2224,16.94775304122335
902_2224,16.941455101232997
900_2224,16.939820873725697
906_2218,16.09148924170033
902_2226,16.765717458467236
900_2226,6.385641927727365
908_2222,16.949957097857443
908_2220,16.95690463345869
910_2220,16.951759153987865
910_2222,8.550819906348712
908_2224,16.946878987804954
906_2224,16.948062049012524
912_2220,16.95404351020624
912_2218,16.95759378755499
910_2218,16.952476356083057
906_2226,16.951074995250835
910_2224,8.806152042131222
908_2226,16.951167740645573
896_2210,16.94075372816336
898_2208,16.947209768166182
896_2208,16.936516477169565
898_2210,16.94672503080024
894_2210,16.934116481445095
894_2212,16.936202639415043
896_2212,16.94032768692211
818_2218,16.82929824813963
820_2218,16.832355298288608
820_2216,16.8310218939736
822_2216,16.83153474723838
818_2220,16.824856761415056
820_2220,16.833236814690416
822_2218,16.83141910114654
818_2216,16.823551403729525
816_2220,16.82355238040206
816_2218,16.82119925430381
814_2218,16.824458802470602
814_2216,16.82512633824962
812_2218,16.81914190233199
812_2216,16.81794188284476
816_2216,16.816789127601837
814_2214,16.821052842100368
816_2214,16.826190150823376
806_2232,16.807808243839006
806_2234,16.802677024114256
818_2242,13.101897101001944
820_2242,9.105158671321842
820_2240,11.420634339839705
818_2244,14.943006209333559
822_2240,16.100052584182183
822_2242,16.799132347524463
820_2244,16.81944056823242
818_2236,16.82032060400054
816_2236,16.81479751997932
816_2238,16.8137410089453
818_2234,16.821842854527567
818_2238,16.8245995797674
820_2236,16.824752093321194
820_2234,16.825077793427205
814_2232,16.82117826816117
816_2232,16.824802091329158
816_2230,16.82138582954326
818_2230,16.822682564078658
814_2234,16.81651244282229
816_2234,16.818269371267192
818_2232,16.821691672905377
812_2234,16.811778134411295
812_2236,16.808492773237695
810_2236,16.810253459139485
808_2236,16.804066556299624
814_2230,16.816370378995053
814_2228,16.813635530404273
816_2228,16.81653012766377
818_2228,16.821083852639887
818_2226,16.82568423570391
816_2226,16.822608292031106
814_2238,16.813714256729206
816_2240,16.821213115611997
814_2240,14.897236656189232
826_2232,16.837191727399112
826_2234,16.83089746278231
828_2232,16.841453706764568
828_2230,16.835977787596526
826_2230,16.83587473768183
824_2232,16.83491193293169
824_2234,16.833264344311594
814_2236,16.816033508311243
812_2238,16.812873327984107
822_2232,16.831532237421396
822_2234,16.828997943581673
822_2236,16.823987388716713
824_2236,16.829868162043457
820_2238,16.822323610307862
822_2238,16.794106095357687
818_2240,16.404965302319727
824_2238,16.83002814658322
798_2258,16.78088010066642
798_2260,16.78501000729007
800_2258,16.7888382454231
800_2260,16.78303880965038
798_2262,16.774938890075138
796_2260,16.784747079518898
796_2262,16.780701281581276
746_2058,11.737671228967855
746_2060,9.018019563025108
748_2058,16.76245771111337
748_2056,16.770393692631526
746_2056,14.460212062381455
744_2048,8.708942456493059
744_2046,11.422063679770387
744_2044,14.129259579724579
746_2044,16.762212662126846
746_2046,16.76200622113202
744_2042,16.29922387032522
746_2042,16.762482708193534
748_2042,16.77091426016019
748_2044,16.77362116944735
748_2046,16.767309645075716
746_2048,16.766636380717227
746_2036,16.767361684921894
744_2040,16.732646530417046
746_2038,16.770615394356767
742_2032,10.922712063051854
742_2034,8.2486115725801
744_2032,14.027765107777247
744_2034,16.76537155942913
828_2314,15.896066075220828
830_2314,7.069791230157477
830_2312,0.005669985773389113
830_2316,2.185058130502906
832_2314,0.2648657567787218
828_2316,8.575025745786236
832_2312,6.933396150408447
802_2336,1.2560496793302767
804_2336,11.620623867265707
804_2334,5.3157372812658945
806_2334,1.1936457653172832
806_2336,13.477344344738945
804_2338,11.81733958069638
802_2338,1.5413142738341068
770_2094,12.901201816772673
770_2092,8.529937501367684
768_2094,5.831905381020059
772_2092,12.041100521225912
772_2090,16.79578239506241
770_2090,16.67715166586428
768_2092,16.16162674182937
900_2216,14.801695880461304
900_2214,16.903845028661
898_2216,16.02978130036728
902_2216,15.265489451493961
898_2218,16.93947314636612
900_2212,16.938975268447994
898_2214,16.688745330673893
896_2218,16.934949029061258
896_2216,16.939503054545863
896_2220,16.937365535205547
892_2214,16.93349655739353
894_2214,16.930327310836283
896_2214,16.937500654116505
894_2216,16.932150966375374
892_2216,16.925298721143346
892_2212,16.93399485319067
894_2208,16.937738067750427
892_2210,16.93397550241702
904_2216,16.950988718361565
906_2216,16.952188186870806
906_2214,16.861837730110274
908_2214,13.08189415179736
908_2216,16.950752649360307
916_2216,1.2626339130105362
920_2216,0.2697588728908416
918_2218,8.377480878813568
916_2218,14.986615786820213
914_2218,16.96164807569262
916_2220,16.95779404048427
914_2220,16.959680170397334
900_2206,9.12867924797827
898_2206,12.939972201232372
900_2208,16.951115215766
902_2206,1.1890486086558731
902_2208,13.611710312646132
904_2208,1.1714252151206999
918_2220,16.960799703178814
920_2222,16.963018760607923
918_2222,16.967434825546473
908_2218,16.94941451054296
910_2216,16.954652432567432
912_2214,6.236285855696436
912_2216,16.956877634872974
910_2214,11.48177073952222
904_2226,16.938291430670425
904_2228,16.948136724065186
902_2228,16.9416536646233
906_2232,14.462981742308793
906_2234,15.130200974880143
908_2232,9.933276776279682
904_2234,16.942687787175913
904_2232,9.55598241627032
906_2230,7.733551296660263
908_2230,0.4681240531014048
906_2228,16.88196569533117
908_2228,15.05398965820681
904_2230,10.782571493901614
910_2226,16.934435332719534
902_2230,16.200730086927724
908_2234,11.397313408272504
906_2236,16.74919726420295
908_2236,14.673493690061761
910_2234,15.741679381926982
910_2232,11.641755108248956
904_2254,11.415154385335288
904_2252,12.117060074127183
902_2254,16.077808333948877
906_2252,16.247069830503985
902_2252,7.819277677440831
904_2250,14.140576943667174
906_2250,16.938723747359834
904_2248,16.940480753078237
902_2250,4.932023496459553
906_2248,16.941367484155542
906_2246,16.944053827729935
908_2248,16.941473136460797
908_2246,16.943185452493886
906_2258,0.018213781769700788
908_2258,2.6989659608671834
904_2258,4.248308470915072
906_2256,0.2137790412580464
908_2256,8.793829890232347
904_2260,4.372426708021325
782_2154,16.79486614886851
782_2152,16.788766990860292
780_2154,16.786883744638192
780_2152,16.79322431858581
782_2150,16.79169120095694
784_2150,16.794243258655026
784_2152,16.793544170837194
900_2228,6.000561409855413
900_2230,9.1103315526932
898_2230,8.124170890249582
898_2226,6.236201227414808
862_2222,16.88939063142728
864_2220,16.88995980106781
862_2220,16.89040291264812
860_2222,16.885178512356834
860_2224,13.254886563138935
864_2222,16.895805561466297
862_2224,16.88890787753212
864_2224,16.89296892400654
866_2222,16.89871048519423
866_2220,16.89614105902479
860_2226,15.871902551433434
858_2226,11.904534701122165
856_2228,6.659357844952506
856_2226,16.31910395520522
858_2224,14.890530424990498
886_2216,16.92379490504118
886_2214,16.932293810070632
884_2216,16.925797235218965
886_2218,16.92227678946975
888_2216,16.926544571662184
888_2214,16.92386564453991
884_2218,16.729200374646048
898_2224,16.938074172822073
896_2224,15.831165286132789
896_2222,16.9341059388837
894_2218,16.93655753857708
890_2214,16.92961324873765
890_2216,16.926314259158886
898_2212,16.938344944012396
796_2194,4.680300730754075
796_2192,6.8381075534492375
794_2194,15.141881056631583
794_2192,12.064995376937393
798_2192,9.60579465740529
796_2190,11.6070000763287
798_2190,13.953211263773998
832_2180,16.859491672605024
830_2180,16.86095792164487
830_2182,16.854190608907977
828_2180,16.852902057917472
830_2178,16.858309043692902
832_2178,16.855574422444594
828_2182,16.849009596536316
832_2176,16.859807529318818
828_2178,16.85369963074825
830_2176,16.85518144171525
782_2222,16.77040082000613
780_2222,16.765952192404495
780_2224,16.769169443247577
778_2224,16.762561516946747
778_2222,16.758992714964727
780_2220,16.763934135290786
782_2220,16.76481429389884
838_2242,16.848502432684395
838_2240,16.851226155155256
836_2242,16.8431466323528
840_2240,16.851719650045546
836_2244,16.842707084744124
838_2244,16.848778150492965
840_2242,16.847849720748002
842_2238,16.85711721921379
842_2236,16.85819547943086
840_2238,16.853617758295233
844_2238,16.856874714548926
842_2240,16.85498952244649
844_2236,16.861152000496634
842_2242,16.854047224197984
840_2244,16.853165068817702
804_2208,16.805664630043022
806_2208,16.811143130516953
806_2206,16.810116560348376
804_2210,16.805799901181203
806_2210,16.81194117906191
808_2208,16.81786967874132
808_2206,16.815399933909088
824_2212,16.839430592481065
826_2212,16.83989836038909
826_2210,16.658398713318444
824_2214,16.841210523225215
826_2214,16.84111461089174
828_2212,16.843969358397928
828_2210,16.670187870037303
828_2208,15.989665964772952
826_2208,14.481648914961664
824_2210,15.320591186506311
802_2222,16.797250306934586
804_2222,16.80329609484687
804_2220,16.801828707376778
802_2220,16.798293852351975
802_2224,16.79913543282237
800_2224,16.793590738092984
800_2222,16.798103435412298
806_2230,16.80480329525049
808_2228,16.81238557713449
812_2226,16.816741442845
810_2226,16.814046845807553
798_2226,16.792169899881863
798_2224,16.797897722447633
800_2226,16.794311151824573
790_2216,16.788825951454314
792_2214,16.786168541533076
790_2214,16.786434029812003
792_2216,16.787780078764847
788_2216,16.777490362173967
790_2218,16.786486507805044
788_2218,16.780805597911765
794_2224,16.786561245029034
796_2222,16.78737095744883
794_2222,16.787414093167524
796_2224,16.7921853253224
796_2220,16.78613296276413
798_2220,16.799973790791103
798_2222,16.797177534516532
816_2212,16.823453927133862
818_2212,16.829752423828047
818_2214,16.82667359345783
824_2216,16.83494638770914
824_2218,16.834334801545012
826_2216,16.839253130507704
828_2216,16.84282591682691
828_2214,16.847596058196523
826_2218,16.839648051700735
822_2214,16.838438787984654
820_2230,16.825497638034417
