rowf_colf,km2
1194_2382,17.169984892277814
1194_2380,17.168728956505667
1192_2382,17.16617905031832
1194_2384,17.1670152848982
1196_2382,17.16460451731793
1196_2380,17.169874181767835
1192_2384,17.166316297193816
1196_2384,17.168166427455294
1198_2382,17.166475420223563
1198_2380,17.171308538665414
1196_2378,17.171191278925217
1198_2378,17.173654444633563
1194_2378,17.167253549846873
1192_2380,17.166264580286963
1198_2376,17.172503882047263
1196_2376,17.05274276391092
1198_2374,14.417061368517016
1200_2374,15.039554519165259
1198_2372,17.173002948136755
1196_2374,15.471688974281266
1200_2372,17.170051294732616
1190_2384,17.162906851156023
1190_2386,17.163939071710853
1192_2386,17.166900431335936
1194_2386,17.16569453788809
1214_2388,16.418154836145998
1216_2386,17.17755237792724
1214_2386,15.005773255951537
1214_2390,17.175688097203015
1212_2390,17.175621136023295
1212_2388,16.882639819536607
1216_2388,15.037286093022896
1220_2384,17.178980627428665
1220_2382,17.17800586395747
1218_2384,17.181181151410055
1220_2380,17.175933024787366
1222_2380,17.177053572218817
1222_2382,17.182269785258963
1218_2382,17.176994461019312
1218_2386,17.176966124559407
1216_2384,17.172151019086314
1210_2356,17.179447506298786
1210_2358,17.178272159621628
1212_2356,17.18040999817923
1208_2358,17.17621494827228
1208_2360,17.111486871080487
1210_2360,15.611979418963672
1212_2358,17.180511027316403
1208_2354,6.21942818121034
1208_2356,17.17917236380499
1210_2354,9.599443114285155
1206_2354,9.727150410156506
1206_2356,17.181918011380624
1210_2352,3.5428459391070002e-06
1206_2358,17.174691972976962
1204_2358,17.176443810962226
1204_2360,15.666313824071686
1206_2360,17.14659254806876
1208_2362,16.865513533061407
1206_2362,14.427586499623896
1224_2380,17.181554886326094
1224_2382,17.179134924363247
1222_2384,17.179437596001804
1228_2386,17.185388845956563
1226_2386,17.18192374894969
1226_2388,17.18460574588643
1224_2388,17.18186086826405
1224_2386,17.17960507986687
1226_2384,17.18233080690482
1228_2384,17.181925190295157
1166_2370,9.1452434139109
1164_2370,4.642129401401827
1186_2366,17.163350275961953
1188_2364,6.340709859635691
1186_2364,1.6042861972342273
1190_2364,11.305942083764778
1188_2366,17.171475521046027
1212_2352,5.679780701133933
1212_2354,17.1783420017449
1216_2352,15.176699127401047
1214_2352,7.350952253439486
1214_2354,17.17850282846449
1216_2350,2.0026922954705526
1208_2380,0.6595791508209002
1208_2382,16.978209736577035
1210_2380,15.990384603431393
1206_2382,16.76701847092533
1210_2378,10.993042376839979
1206_2380,2.272196405796434
1214_2374,17.181549527712516
1214_2376,17.17910315179028
1216_2374,17.18142421010684
1214_2372,17.177617000540486
1212_2374,17.17576904950451
1216_2372,17.178146837081925
1212_2376,16.99097106070594
1200_2382,17.166850042339902
1200_2384,17.17210428711359
1202_2382,17.170098280014667
1200_2380,17.17137849535082
1198_2384,17.172393661078686
1202_2380,17.16733804832525
1204_2380,13.403955138359581
1204_2378,7.6312575564348935
1202_2378,16.623139417184223
1190_2378,13.72753665994497
1190_2380,17.16304732921086
1192_2378,17.165300848550633
1192_2376,8.892637384940336
1188_2380,17.166113790562147
1188_2378,14.32066897781477
1200_2378,17.174222955549514
1194_2376,17.164764793383842
1196_2370,16.80066536286301
1196_2372,17.16445106989678
1198_2370,15.480614389629126
1196_2368,17.167454499275102
1194_2370,17.17444330985654
1194_2372,17.174894494220563
1198_2368,17.166047290590637
1190_2388,17.161626305507813
1192_2388,17.16461728248274
1206_2386,17.17494451762943
1206_2388,17.170751373218042
1208_2386,17.173893444534038
1206_2384,17.17209528995675
1204_2386,17.172413522344947
1204_2388,17.17078242130879
1208_2384,17.177157727893455
1208_2388,17.17015533408868
1206_2390,17.1722979128814
1204_2390,17.16835287259411
1196_2386,17.172650605083728
1204_2384,17.17603165650836
1204_2382,17.173288891511568
1218_2388,17.17847334101893
1220_2386,17.17695541001113
1222_2378,17.17813588901261
1218_2380,17.180282384773154
1220_2378,17.185710391570353
1218_2376,17.176801990164886
1218_2378,17.181076065027632
1220_2376,17.184812642400164
1216_2378,17.180036927510365
1216_2380,17.18253902227913
1222_2376,17.182842178462852
1216_2376,17.174686678445223
1214_2378,17.17405970237259
1218_2374,17.180190233304305
1218_2372,17.18123831577679
1210_2384,17.17711246667119
1210_2386,17.10503454451532
1212_2378,15.410053209941093
1212_2380,13.466285111813004
1216_2382,17.172272085206938
1214_2382,17.16783987819202
1214_2384,17.174986849302034
1214_2380,16.358597307087617
1206_2368,17.17462812306286
1206_2370,8.158986366432483
1208_2368,17.178619560191617
1206_2366,17.175878530516975
1204_2368,14.906134578017861
1208_2366,17.178722788474055
1204_2370,10.382659933677791
1202_2374,13.37203125170265
1204_2372,3.808522139386155
1202_2372,15.841672042391066
1206_2372,1.166266695524576
1208_2372,1.2083411152562937
1208_2370,16.947867031108622
1214_2360,14.36660323579446
1212_2360,17.17836400589643
1212_2362,14.220448327592537
1210_2362,17.17667793496333
1214_2358,17.17673556422898
1212_2364,17.17943080515457
1210_2364,17.17612695439008
1214_2362,13.854255430093547
1208_2364,17.172795759282746
1202_2360,13.89516616941338
1202_2362,13.057525060743155
1204_2362,13.094969067331832
1206_2364,17.176259780586584
1204_2364,17.17153017540032
1204_2366,17.17732752831795
1198_2366,17.17311129668519
1196_2366,17.168264008843103
1198_2364,17.175188707533902
1200_2364,17.178424765983774
1200_2366,17.172113212762195
1200_2368,17.17105283978029
1204_2356,17.17694985578681
1204_2354,13.242932863246816
1202_2356,11.52149593581812
1202_2358,8.817687634922041
1202_2354,13.55216354046236
1200_2356,4.655819751965582
1170_2368,0.9774632292178117
1170_2370,17.154639665641405
1172_2368,5.645759857992913
1168_2370,12.580550813093097
1172_2370,17.159651558938492
1174_2368,10.353750341519435
