,AK,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2006-01-01,106.453063,924.035046,81.342246,572.1580900000001,4488.043804,145.25275900000003,50.393404000000004,19.545938000000003,251.83308099999996,12.107835000000001,89.09642000000001,820.2109600000002,14.944564,32.332706,0.962,226.192524,53.694,143.70227200000005,328.86661300000003,416.760977,147.259168,59.21424000000001,6.807308,655.089282,544.5955399999999,137.379,29.229738,172.70488699999996,3.738892,18.049774000000003,96.59371199999998,2471.646533,43.71609899999999,32.036035000000005,4128.311057,367.6272959999999,0.56777,255.418794,237.515,835.544113,53.35541800000001,67.42131199999999,126.56975600000001,146.288472,7655.425327999998,166.12125799999998,170.780397,29.721485
2006-02-01,93.71956499999999,915.7868039999998,92.798351,557.356769,3790.6710159999993,128.65106099999997,45.555578,17.624658,228.610359,9.370773000000002,72.519604,955.1260409999995,13.168089,36.489608,0.516,256.055373,82.036,131.88798300000005,219.21881299999998,387.42132000000004,132.136186,52.096666,14.191963,744.5325439999999,367.3884060000001,106.325,26.356586000000004,130.823263,3.320477,15.835781,121.58475900000002,2317.501727,44.559273000000005,31.931096,3722.247939,270.609906,0.511961,168.830392,226.401,720.14764,47.897929999999995,60.645176000000006,107.79866900000002,131.81950499999996,6848.054537000001,147.411118,140.576593,25.563319000000003
2006-03-01,103.76271000000001,713.9007359999999,104.298688,523.645225,4821.086975,146.941255,40.203362999999996,15.527573,231.28579099999996,13.691655,96.27837400000001,944.74468,13.427672000000001,32.866468,0.828,181.76258,78.947,116.341902,137.329385,362.369617,116.68157599999999,46.822433,8.732638999999999,696.790989,218.45735299999998,111.224,23.220524,109.90898899999999,2.8823980000000002,17.020116,190.963404,2470.7365700000005,55.956065,29.285099000000002,3682.7887239999995,199.00216999999998,0.45104500000000003,161.386381,327.163,451.997695,45.606475999999994,65.65852000000001,92.177132,115.13724600000002,6425.192785000001,128.360168,119.34513199999999,32.420529
2006-04-01,101.777144,623.103421,99.98446700000001,613.513612,5382.245269999998,166.193618,43.781974999999996,16.901253,181.57048699999999,12.471855,84.323142,1340.6698809999998,15.008314000000002,31.593216,0.864,245.440141,81.966,133.382454,149.47650399999998,333.95519500000006,126.61494499999999,47.236444,2.5147510000000004,1001.6456240000001,192.48018299999998,102.504,25.274778,142.72002300000003,3.077359,20.547592,199.552502,2187.0836019999997,48.159323,42.19211599999999,4162.599865,218.279414,0.490947,132.809952,255.58,501.77022700000003,55.127819,72.35165500000001,99.398796,126.91955099999998,8739.013104000001,136.367362,152.161187,102.987898
2006-05-01,101.30069999999998,592.537118,234.450377,621.6524469999999,5827.185056999995,157.53385599999996,53.53230700000001,19.982905000000002,234.03982300000004,13.037915,93.57110300000001,1386.2766010000003,16.956026,49.084022,0.887,187.44154,100.98,145.66733700000006,128.969459,388.09342799999996,148.77493500000003,53.993775,50.993968,1267.844086,225.46697699999999,120.753,29.883196000000005,153.15064500000003,3.347413,22.173592,234.059925,2305.354972,65.633335,183.826302,4224.353933000002,220.795538,0.5804630000000001,138.99855999999997,345.866,466.764401,73.15063599999999,110.00743199999998,116.69810000000001,148.35659399999994,9319.093951999996,158.67652,129.96087,146.70479600000002
2006-06-01,104.35154300000002,370.6587,135.11040599999998,705.588524,5278.664088,194.242026,51.92981300000002,19.634505,217.39042500000002,9.174756,95.87072099999999,1343.8364190000002,16.308899,51.718563,0.888,184.624999,51.132,147.560888,156.440487,396.80285399999997,144.87713800000003,53.133841000000004,14.976374000000002,1393.375935,231.159365,157.642,29.362188000000003,168.052416,3.2890509999999997,22.902167000000002,227.078123,2134.903774,59.749261,66.01444599999999,3789.091529,240.321506,0.570343,144.89837099999997,444.837,477.079707,78.38889399999998,76.73158600000002,108.56567799999999,145.731668,9619.623929000001,155.674093,117.48159799999999,119.843492
2006-07-01,97.904955,365.44242799999995,145.486705,682.610061,4647.857434999997,210.562697,54.389573000000006,20.589464,228.57584599999998,9.285525,59.540338999999996,1205.9145329999997,16.749036,53.866234,1.171,196.473761,32.364,138.62850999999998,179.64138200000002,383.98090699999995,151.51274900000007,52.742539999999984,43.564901,1053.4590840000003,323.949405,169.105,30.790268,119.13642700000001,3.44902,18.713948000000002,206.585694,2378.7921290000018,62.963888999999995,49.91338599999999,2519.6245349999995,267.064772,0.598083,152.61556500000006,528.292,540.161737,73.964907,59.129506000000006,145.69158399999998,152.78384300000002,7126.332841999999,164.25474500000004,150.320515,162.844907
2006-08-01,100.882083,447.32786300000004,151.22799099999997,627.853176,3855.3239930000004,189.86704700000004,53.52587299999999,20.440681,227.807474,8.354928,57.95267599999999,996.2062800000001,16.519844000000003,49.080879,0.823,213.571366,18.861,137.10123699999997,73.318155,368.89283000000006,149.98083400000002,51.26771,26.506991000000003,771.469545,292.34566600000005,175.454,30.567772000000005,108.327622,3.424097,15.344596000000001,165.29358899999997,2317.0508139999984,57.632917,55.135151,1890.0264490000004,163.78575,0.5937610000000001,157.15419999999997,583.748,740.1120080000001,78.39148899999999,50.4612,122.46227900000002,149.775462,5587.813582000001,160.85272700000004,94.182891,114.254218
2006-09-01,95.23656200000002,399.611411,81.696889,458.549977,2790.3073499999996,144.08930599999997,35.027194,13.268421,177.93718600000003,7.47079,58.24063699999999,644.4697339999996,12.725812000000001,46.226243000000004,1.049,215.270322,19.442,83.959843,150.678549,285.378462,98.45741600000001,36.09302,9.092897,580.6682079999999,269.46638599999994,135.059,19.842101000000003,54.95667500000002,2.2226440000000003,11.249104,121.240749,1992.1681820000001,57.052513000000005,27.761256999999997,2090.9125139999996,203.06678899999997,0.385421,118.12438800000002,385.159,616.328369,45.168832,42.298879,73.92582099999998,96.78159300000002,4139.390230999999,110.06636600000003,104.759671,39.12715
2006-10-01,108.89975500000001,478.59181000000007,84.05499400000001,440.84113299999996,2324.3091900000004,93.48290599999997,32.201758000000005,11.697052,187.82837099999998,9.091332,57.208414,491.60002199999974,12.165288000000002,34.58337,0.713,183.577061,44.886,95.67713799999997,156.905855,276.9938690000002,88.78900499999999,35.088459,6.442318,517.2782550000001,338.574073,93.434,17.492215,113.605975,1.9594179999999999,10.638776,134.624982,2156.3379539999996,41.871965,27.159175,2185.967112999999,193.69233199999996,0.339776,105.68484399999998,189.877,709.613064,34.568478,41.50436800000001,91.52394,89.40318300000001,4459.914867,103.60701400000002,119.885391,20.990732
