,,AC,DC
Mountain,Northwest,13.229,0.0
California,Northwest,4.355881243,2.78
California,Mountain,5.647147726526,1.92
Central,Mountain,0.0,1.32
Central,MidwestN,13.900956457100001,1.5
Central,MidwestS,5.1635403137,0.0
Central,Texas,0.0,0.22
MidwestN,MidwestS,3.6966347469,0.0
MidwestS,Texas,0.0,0.6
MidAtlantic,MidwestN,10.19828304034,0.0
MidwestN,Southeast,0.4493373134,0.0
MidwestS,Southeast,8.4074855038,0.0
Florida,Southeast,5.9451621789999995,0.0
MidAtlantic,Southeast,13.727337578,0.0
MidAtlantic,Northeast,1.9999999994999997,0.0
