,,AC,DC
OR,WA,16.159,0.0
ID,WA,13.567,0.0
MT,WA,2.843,0.0
CA,OR,4.355881243,2.78
ID,OR,2.133,0.0
NV,OR,0.001,0.0
CA,NV,2.6967402885259997,0.0
CA,UT,0.0,1.92
AZ,CA,2.950407438,0.0
ID,NV,0.863,0.0
NV,UT,0.474772755,0.0
AZ,NV,4.447,0.0
ID,MT,4.357,0.0
ID,WY,3.7,0.0
ID,UT,1.465,0.0
MT,WY,1.45555927052,0.0
MT,ND,0.0,0.2
UT,WY,1.91,0.0
CO,WY,3.32,0.0
NE,WY,0.0,0.31
AZ,UT,0.14227244960000002,0.0
NM,UT,0.2990836897,0.0
CO,UT,0.23924012160000002,0.0
AZ,NM,6.959,0.0
CO,NM,0.69,0.0
NM,OK,0.0,0.4
SD,WY,0.0,0.2
CO,KS,0.0,0.21
ND,SD,2.2603591,0.0
MN,ND,2.3259265,1.5
NE,SD,1.0484092,0.0
MN,SD,1.2316953899999998,0.0
IA,SD,1.494105,0.0
IA,NE,4.3985782,0.0
KS,NE,0.9548672565999999,0.0
MO,NE,1.92300885,0.0
MN,WI,1.67730753282,0.0
IA,MN,1.3763435099999999,0.0
IA,MO,0.8638233545,0.0
MI,WI,0.9101578366699999,0.0
KS,OK,0.330437756478,0.0
AR,OK,4.2114130137000005,0.0
LA,OK,0.9521273,0.0
OK,TX,0.0,0.22
MO,OK,0.035362517100000004,0.0
KS,MO,2.4922799999999996,0.0
AR,MO,3.6966347469,0.0
LA,TX,0.0,0.6
AR,LA,4.418901000200001,0.0
LA,MS,5.296588,0.0
IA,WI,0.11139504563,0.0
IA,IL,0.7344032939999999,0.0
IL,MO,3.8801569,0.0
IL,WI,1.72539284291,0.0
IL,IN,5.3592171626,0.0
IL,KY,2.6226626868,0.0
MO,TN,0.4493373134,0.0
AR,MS,1.662681,0.0
AR,TN,1.023337407,0.0
AL,MS,4.929878835,0.0
MS,TN,2.4542692618,0.0
AL,TN,1.349144969,0.0
AL,GA,6.0582711,0.0
AL,FL,2.856881,0.0
FL,GA,3.088281179,0.0
KY,TN,8.348240879999999,0.0
GA,TN,0.7209761966,0.0
NC,TN,3.6,0.0
TN,VA,0.12720955590000002,0.0
GA,SC,3.1949335628999997,0.0
GA,NC,0.04706643701,0.0
NC,SC,8.675418,0.0
NC,VA,5.2518871421,0.0
VA,WV,11.2718457275,0.0
MD,VA,4.9664137046,0.0
IN,MI,2.4553740671999997,0.0
MI,OH,0.3909556479,0.0
IN,OH,7.063388,0.0
IN,KY,0.12127670563999998,0.0
KY,OH,0.26649503353,0.0
KY,VA,0.40248107606,0.0
KY,WV,2.996277,0.0
OH,PA,5.745963307999999,0.0
OH,WV,4.583473,0.0
PA,WV,2.492509978,0.0
MD,WV,3.0751459999999997,0.0
MD,PA,6.64922471717,0.0
DE,PA,0.9768799,0.0
NJ,PA,8.384043326999999,0.0
NY,PA,0.8465099715,0.0
DE,MD,2.749818,0.0
DE,NJ,4.250192811999999,0.0
NJ,NY,1.153490028,0.0
NY,VT,0.24165941400000002,0.0
MA,NY,0.6534957933999999,0.0
CT,NY,1.1388447925999998,0.0
NH,VT,1.796173252,0.0
MA,VT,2.1332004280000003,0.0
MA,NH,2.4644108510000002,0.0
ME,NH,1.299691,0.0
CT,MA,1.520605,0.0
MA,RI,1.7251010000000002,0.0
CT,RI,1.038325,0.0
