,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AL,0.0,612.9533739492991,2334.8146089553175,2996.4019031101493,1795.5164076395517,1547.3453969120278,1229.8021565969407,725.3711571794233,265.0253042521373,1113.8079586551214,2777.680230390024,933.571109661652,805.1935142437591,1017.9010606535139,589.093817877333,517.9584557906741,1699.3062869036296,1124.7231263074343,1885.8930176864246,1088.7082004014485,1445.380544588708,787.740489006411,290.6926597964059,2551.8423114884763,687.4682608541846,1830.077178699404,1236.4798558341993,1746.6747250788956,1361.8225459017028,1847.2156870169524,2747.4650831227154,1435.4455207513026,904.872010470072,973.8189704496027,3342.0095861020504,1192.3081318939915,1659.4197190347697,539.8804894465089,1595.3044833091565,315.85601916977186,1019.4067293458868,2386.820289440496,989.7274940091038,1730.9411680242833,3323.5814631914386,1170.0651758617958,845.0764252060791,1921.7115423453824
AR,612.9533739492991,0.0,1758.5169460067336,2395.947673178457,1185.0897811020156,1879.8799736509786,1600.5563106653547,1310.7349952722775,836.8079272779789,737.0492411911481,2177.16550460157,785.5466698973366,808.3885497430459,451.51446459904145,755.7639822439988,523.8487992605575,2025.558029087139,1493.1091656093345,2177.559504178717,1123.8885775833253,1092.7311585300176,375.34223319707326,470.3127820460552,1979.4855617749747,1177.1288366897827,1385.5750462483454,724.1575048137461,2052.4003395231653,1714.6952013117439,1258.4372876705638,2139.762654969041,1730.9550254168619,1072.2804808654203,366.0502769312988,2737.629709178241,1510.4785339652722,1999.0080132338605,1087.514254192955,1080.7578278328142,631.0708169918336,635.4223314013236,1774.9033276319242,1402.8534911779695,1970.3961734837585,2732.5753264805044,987.9657833947241,1151.2699374792992,1326.493728626502
AZ,2334.8146089553175,1758.5169460067336,0.0,729.2797509264185,925.1466623192563,3541.9041966062396,3303.780268348586,2922.0418119206893,2583.607242609791,1927.025506598522,1263.0757707856128,2254.567031161157,2400.9311269210702,1560.8733298216484,2456.4260403141334,1946.4269345570024,3673.822213243791,3200.9697287613853,3785.5449877963197,2642.853719107532,2063.321552611371,1859.0401960142722,2089.7191676123502,1480.8107243573493,2934.0357797574284,1913.8849204641774,1625.8526402136479,3681.5857108141727,3400.788125294649,507.5930505834394,615.0400962830001,3375.2276005403683,2708.4369797648324,1400.5797214316349,1581.729630005969,3188.241570917387,3659.4725140194287,2843.6476866270505,1599.2442082761108,2386.6305398323107,1406.988795924059,809.8486864666322,3135.343390811823,3544.426050907032,1762.0701476175755,2312.9153179033397,2854.1501013759985,1113.396778692408
CA,2996.4019031101493,2395.947673178457,729.2797509264185,0.0,1333.3774996392199,4060.0963406369947,3855.633019827682,3620.1575951756854,3232.5365445377397,2400.8340221747735,1026.945983556693,2760.515076001924,2935.4718090234774,2114.672249885466,3033.2457378205245,2646.838910412652,4179.885465018428,3758.6500905550374,4264.509652209868,3132.309780050673,2442.433235555205,2422.4545342239744,2770.9553815011686,1411.1279693435506,3549.2931536777596,2172.1914049517895,2096.3624611171144,4175.913034029729,3938.3103479846554,1154.994727881446,308.39977975597697,3887.5825267676573,3242.644735766015,2029.9312204190621,1069.7414058024626,3726.219093069358,4173.596639822232,3480.2086619299694,1951.3491457111465,3006.089904806533,2120.4405298353277,856.9602799065483,3714.4854828423386,4012.809882594464,1325.7994790628472,2766.1680141637635,3417.8950353998393,1396.2972779117033
CO,1795.5164076395517,1185.0897811020156,925.1466623192563,1333.3774996392199,0.0,2726.75058934599,2527.547456829872,2491.961560164976,1998.1366483762522,1067.8935752671064,1008.9052086585158,1427.6229495292923,1606.9869605328236,814.1947595170158,1723.2299053374745,1587.7544692689735,2846.83034270533,2432.7757201690615,2935.412633676954,1799.4907759922817,1148.3519058271536,1116.6626943797148,1632.940801058404,917.96056332746,2262.660197122422,997.8022708471303,762.9991517780129,2843.9931962867686,2606.828254314099,550.8296002712021,1037.9964181387477,2554.2071103737167,1912.480153782058,846.0822522379441,1557.8559562209566,2395.281979522142,2840.23262424977,2220.0849075994906,674.6051361974316,1736.1387550096524,1208.5407079707559,593.2538926265049,2398.3485666265433,2685.727096915068,1581.1967524978068,1438.70331847674,2096.4414797543936,263.53752601259566
CT,1547.3453969120278,1879.8799736509786,3541.9041966062396,4060.0963406369947,2726.75058934599,0.0,324.2422003852463,1698.9303266757481,1318.0414484718178,1660.7053127410784,3463.2375485561884,1300.3417972840055,1140.9802208590852,1981.0465326674746,1124.1944381613948,2057.3400501137276,151.96436501817794,423.9480434086719,351.4520421964299,932.6442368488968,1700.1100055274692,1686.1194827945224,1825.7944462726648,3087.4673504877933,904.6500930377117,2107.562594087026,1963.883202579762,208.7969528937494,188.7736621511,3037.1671789099396,3762.992683754696,174.60917478663035,834.2403085905556,2183.341125486082,4008.139346156486,370.11138416502837,119.30407964943673,1095.1051822496313,2162.1353449466164,1302.5967986593598,2482.1928297122804,3262.8707710760864,574.7884936344876,331.655443847872,3872.648866567744,1315.7881795531102,733.5636582619003,2702.032697731075
DE,1229.8021565969407,1600.5563106653547,3303.780268348586,3855.633019827682,2527.547456829872,324.2422003852463,0.0,1388.4533093701025,995.4458516457563,1478.9686432292103,3326.8522566709603,1107.9997352687126,920.6446793865078,1750.0287203297187,852.9141477510436,1743.4098442080256,474.36606105681574,108.27549088415313,674.5082762370839,789.8194649378125,1581.6396133579926,1446.0627647956508,1512.0138009966083,2973.6543446127243,580.5811976361134,2011.9779753396733,1771.7882105899819,531.7986644296906,135.48013305397308,2796.4796438365474,3565.1397827433066,275.1559418803216,616.4427810208327,1922.2813181515978,3884.027965133768,155.53322780319508,430.7581631165934,771.3697756788296,2010.8030941025897,1000.4244241151362,2185.9753756632713,3085.268518674898,250.61970889679355,592.3257741505349,3770.6914105704373,1176.912450419541,452.15747219357314,2530.3040073386746
FL,725.3711571794233,1310.7349952722775,2922.0418119206893,3620.1575951756854,2491.961560164976,1698.9303266757481,1388.4533093701025,0.0,643.8813992294547,1824.1536905736978,3487.8908306772587,1589.9351152858324,1415.3773303615321,1738.2618439522141,1169.2064084443816,975.6571854828816,1836.7558005111903,1314.0599560055603,2047.285074255272,1624.3539672243523,2138.2405553807516,1512.0139822221026,863.6170508969192,3275.130779068998,846.3933879193903,2541.4563808922985,1961.7590782619843,1906.2864776111624,1517.8837981733434,2466.333178209607,3393.774240664146,1656.7144260633966,1381.2438683242017,1649.8340883902868,4047.692850327505,1434.3912090413914,1783.3712032893047,671.3147832241233,2319.943266750885,941.923029491723,1521.249482059346,3076.398668044879,1150.6345593849753,1977.4699302895012,4040.917123956921,1814.971475820254,1205.0232978490142,2635.6811536873774
GA,265.0253042521373,836.8079272779789,2583.607242609791,3232.5365445377397,1998.1366483762522,1318.0414484718178,995.4458516457563,643.8813992294547,0.0,1202.1966782437482,2958.683252055462,946.9459986910492,772.5469171852094,1196.0189140940945,527.3496126359044,776.1553819661799,1469.3108732322755,894.3079562857376,1663.5781739835888,1002.243101576236,1501.4372339898305,926.8916450422827,553.8358826097749,2705.076962690384,431.5183513868605,1915.140505960287,1377.0778081556273,1522.177179961156,1129.9807188891907,2090.0524563525055,2975.773180939167,1220.9405423328803,777.7286845666861,1202.8338989339968,3526.887178420811,977.6431742820959,1426.0850319318981,274.8635173876825,1724.1260455778686,306.4810870181753,1284.2486829174702,2591.3899770589796,748.4779255407168,1528.5809734739732,3490.6914864552477,1171.0978055061357,657.6982659785475,2101.7417966457233
IA,1113.8079586551214,737.0492411911481,1927.025506598522,2400.8340221747735,1067.8935752671064,1660.7053127410784,1478.9686432292103,1824.1536905736978,1202.1966782437482,0.0,1864.3840420157726,371.4300937790188,574.6109310895055,446.45147596265315,758.9793791131181,1249.7158197280237,1779.055650739824,1390.9964436807606,1870.1636478511837,731.5973665681043,357.05776831460923,368.77550969785085,1131.9790855741392,1548.3807725485249,1321.1435933630823,717.5157476466786,306.1309005474932,1776.3580697002199,1548.2358548599943,1440.807836691658,2102.440575093424,1487.4769230566383,863.7213779603022,770.9730954220162,2430.148630397886,1339.296809274027,1773.2367181201234,1340.85394618142,553.7017856094784,896.0054163601814,1287.7703762534475,1607.6511420163636,1381.8180190429991,1623.2176938462405,2349.1770891197107,387.5632714500289,1073.3369976232323,1051.3364369205196
