,Gamesa:G126/2500_half,Gamesa:G126/2500_whole,Leitwind:LTW90/1000,Suzlon:S120/2100,Betz:126/2500,Gamesa:G126/2500_betz,Gamesa:G126/2500_left,Gamesa:G126/2500_low,Theory:150sp/75pct,Theory:200sp/75pct,Theory:250sp/75pct,Theory:300sp/75pct
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0.565722297,0,0,0,0,0,0,0
1,0,0,0,0,4.525778377,0,0,0,0,0,0,0
1.5,0,0,0,0,15.27450202,0,0,0,0,0,0,0
2,0,0,0,0,36.20622701,0,0,0,0,0,0,0
2.5,83.58948809,0,19.5,0,70.71528714,0,0,0,0,0,0,0
3,183.7176629,83.58948809,39,0,122.1960162,83.58948809,70.49561138,83.58948809,0.049,0.03675,0.0294,0.0245
3.5,309.1222887,183.7176629,73,63.5574593,194.0427479,183.7176629,167.8005976,181.7212256,0.077810185,0.058357639,0.046686111,0.038905093
4,455.998749,309.1222887,107,140.9342461,289.6498161,289.6498161,293.1425128,305.1294139,0.116148148,0.087111111,0.069688889,0.058074074
4.5,617.2795125,455.998749,161.5,241.0194377,412.4115546,412.4115546,435.9931919,452.0058743,0.165375,0.12403125,0.099225,0.0826875
5,789.6306364,617.2795125,216,357.0846179,565.7222971,565.7222971,597.0057077,613.2866378,0.226851852,0.170138889,0.136111111,0.113425926
5.5,976.7682851,789.6306364,297.5,491.6529428,752.9763774,752.9763774,767.5939549,789.6306364,0.301939815,0.226454861,0.181163889,0.150969907
6,1176.381019,976.7682851,379,653.1349327,977.5681294,976.7682851,957.0532038,974.7718477,0.392,0.294,0.2352,0.196
6.5,1385.489306,1176.381019,490.5,840.6895355,1242.891887,1176.381019,1154.55767,1176.381019,0.498393519,0.373795139,0.299036111,0.249196759
7,1607.937972,1385.489306,602,1061.045167,1552.341983,1385.489306,1361.581775,1385.489306,0.622481481,0.466861111,0.373488889,0.311240741
7.5,1836.596018,1607.937972,735.5,1309.155516,1909.312753,1607.937972,1579.768217,1607.937972,0.765625,0.57421875,0.459375,0.3828125
8,2025.970992,1836.596018,869,1567.35849,2317.198529,1836.596018,1811.41277,1836.596018,0.929185185,0.696888889,0.557511111,0.464592593
8.5,2172.110827,2025.970992,934.5,1823.038307,2500,2025.970992,2003.392159,2025.970992,1,0.835892361,0.668713889,0.557261574
9,2289.540578,2172.110827,1000,2008.069754,2500,2172.110827,2155.706385,2172.110827,1,0.99225,0.7938,0.6615
