SpeedBin_mps,WTKclass1,WTKclass2,WTKclass3,WTKoffshore
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0043,0.0052,0.0054,0.0
4,0.0323,0.0423,0.053,0.0281
5,0.0771,0.1031,0.1351,0.07400000000000001
6,0.1426,0.1909,0.2508,0.1373
7,0.2329,0.3127,0.4033,0.2266
8,0.3528,0.4731,0.5952,0.3443
9,0.5024,0.6693,0.7849,0.4908
10,0.6732,0.8554,0.9178,0.6623
11,0.8287,0.9641,0.9796,0.815
12,0.9264,0.9942,1.0,0.9179
13,0.9774,0.9994,1.0,0.9798
14,0.9946,1.0,1.0,1.0
15,0.9990000000000001,1.0,1.0,1.0
16,0.9990000000000001,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,0.0,1.0
24,1.0,1.0,0.0,1.0
25,1.0,1.0,0.0,1.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
